Name,Address,Url
NeoPapalis,500 E William St,https://www.yelp.com/biz/neopapalis-ann-arbor?adjust_creative=ziguwByJV8X440VdHu1QZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ziguwByJV8X440VdHu1QZw
Anthony's Gourmet Pizza,1508 N Maple Rd,https://www.yelp.com/biz/anthonys-gourmet-pizza-ann-arbor-3?adjust_creative=ziguwByJV8X440VdHu1QZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ziguwByJV8X440VdHu1QZw
Mani Osteria & Bar,341 E Liberty St,https://www.yelp.com/biz/mani-osteria-and-bar-ann-arbor?adjust_creative=ziguwByJV8X440VdHu1QZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ziguwByJV8X440VdHu1QZw
Pizza House,618 Church St,https://www.yelp.com/biz/pizza-house-ann-arbor?adjust_creative=ziguwByJV8X440VdHu1QZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ziguwByJV8X440VdHu1QZw
Aamani's Smokehouse & Pizza,2529 Dexter Ave,https://www.yelp.com/biz/aamanis-smokehouse-and-pizza-ann-arbor?adjust_creative=ziguwByJV8X440VdHu1QZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ziguwByJV8X440VdHu1QZw
New York Pizza Depot,605 E William St,https://www.yelp.com/biz/new-york-pizza-depot-ann-arbor?adjust_creative=ziguwByJV8X440VdHu1QZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ziguwByJV8X440VdHu1QZw
Bigalora Wood Fired Cucina,3050 Washtenaw Ave,https://www.yelp.com/biz/bigalora-wood-fired-cucina-ann-arbor?adjust_creative=ziguwByJV8X440VdHu1QZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ziguwByJV8X440VdHu1QZw
Hello Faz Pizza,2259 W Liberty St,https://www.yelp.com/biz/hello-faz-pizza-ann-arbor?adjust_creative=ziguwByJV8X440VdHu1QZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ziguwByJV8X440VdHu1QZw
Buddy's Pizza - Ann Arbor,3153 Ann Arbor-Saline Rd,https://www.yelp.com/biz/buddys-pizza-ann-arbor-ann-arbor-2?adjust_creative=ziguwByJV8X440VdHu1QZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ziguwByJV8X440VdHu1QZw
Blaze Fast Fire'd Pizza,3500 Washtenaw Ave,https://www.yelp.com/biz/blaze-fast-fired-pizza-ann-arbor-2?adjust_creative=ziguwByJV8X440VdHu1QZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ziguwByJV8X440VdHu1QZw
Anthony's Gourmet Pizza,1924 Packard St,https://www.yelp.com/biz/anthonys-gourmet-pizza-ann-arbor-4?adjust_creative=ziguwByJV8X440VdHu1QZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ziguwByJV8X440VdHu1QZw
South U Pizza,1106 S University Ave,https://www.yelp.com/biz/south-u-pizza-ann-arbor?adjust_creative=ziguwByJV8X440VdHu1QZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ziguwByJV8X440VdHu1QZw
Marco's Pizza,1752 Plymouth Rd,https://www.yelp.com/biz/marcos-pizza-ann-arbor-4?adjust_creative=ziguwByJV8X440VdHu1QZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ziguwByJV8X440VdHu1QZw
Marcos Pizza,4068 Packard St,https://www.yelp.com/biz/marcos-pizza-ann-arbor?adjust_creative=ziguwByJV8X440VdHu1QZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ziguwByJV8X440VdHu1QZw
Silvio's,715 N University Ave,https://www.yelp.com/biz/silvios-ann-arbor?adjust_creative=ziguwByJV8X440VdHu1QZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ziguwByJV8X440VdHu1QZw
Cottage Inn Pizza - Ann Arbor,546 Packard St,https://www.yelp.com/biz/cottage-inn-pizza-ann-arbor-ann-arbor-4?adjust_creative=ziguwByJV8X440VdHu1QZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ziguwByJV8X440VdHu1QZw
The Original Buscemis,695 S Maple Rd,https://www.yelp.com/biz/the-original-buscemis-ann-arbor?adjust_creative=ziguwByJV8X440VdHu1QZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ziguwByJV8X440VdHu1QZw
The Original Cottage Inn,512 E William St,https://www.yelp.com/biz/the-original-cottage-inn-ann-arbor-2?adjust_creative=ziguwByJV8X440VdHu1QZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ziguwByJV8X440VdHu1QZw
Tippins Market,4845 Ann Arbor Saline Rd,https://www.yelp.com/biz/tippins-market-ann-arbor?adjust_creative=ziguwByJV8X440VdHu1QZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ziguwByJV8X440VdHu1QZw
Mancino's,2883 Carpenter Rd,https://www.yelp.com/biz/mancinos-ann-arbor-2?adjust_creative=ziguwByJV8X440VdHu1QZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ziguwByJV8X440VdHu1QZw
